,id,date,tweet,tweeted_by,link,loc,type
0,1387188325375639554,2021-04-27,"We want to make sure that vaccines that we've in our possession or will soon have in our possession are safe,so FDA is reviewing that:US Secy of State when asked on""US to share 60 million COVID vaccine doses with other countries soon,Pres Biden indicated that India will get some""  https://t.co/7tqhiPYsmT",ani,1387188325375639554,india,news
1,1387154395482050560,2021-04-27,"People leaving the state will have to register themselves at COVID e-pass portal. Ppl coming from 7 hotspots to quarantine for 14 days but if they carrying a negative RT-PCR report of test done 72 hrs before arrival will be exempted:Aditya Negi, DC,Shimla. #HimachalPradesh (27/4)  https://t.co/HZzNfj22zn",ani,1387154395482050560,india,news
2,1387138852708503555,2021-04-27,"It is decided to utilize the service of 1,100 Call centre staff to give guidance to the Covid patients who are at home isolation: Dr K Sudhakar, Karnataka Health Minister (27/4)  (File photo)  https://t.co/qA9wCleZRX",ani,1387138852708503555,india,news
3,1387127858007445507,2021-04-27,Karnataka: Police personnel check IDs of people in Kalaburagi as they commute amid COVID curfew that has been imposed in the state from 9 pm of April 27 to 6 am on May 12  https://t.co/T3DutSEKUD,ani,1387127858007445507,india,news
4,1387091973593395200,2021-04-27,Delhi government issues directions to withdraw the order to convert 100 rooms of Ashoka Hotel for setting up of a Covid Health facility for Justices and other judicial officers of the Delhi High Court and their families,ani,1387091973593395200,india,news
5,1387078428252327936,2021-04-27,"The latest research shows that wearing a double mask- a surgical mask and a cloth mask together prevents COVID19 infection by 85% to 88% Urge people to wear a mask: Dr Dhruv Chaudhary, Head, Dept of Pulmonary and Critical Care Medicine, PGIMS Rohtak &amp; Haryana Nodal Officer-COVID  https://t.co/K50WXXiosM",ani,1387078428252327936,india,news
6,1387063569238269954,2021-04-27,Empowered Group working on Medical Infrastructure &amp; Covid management briefed PM on efforts being undertaken to ramp up availability of beds/CUs. PM stressed that specific guidelines &amp; strategies evolved regarding Covid management needs to be properly implemented: PMO,ani,1387063569238269954,india,news
7,1387062632193036290,2021-04-27,PM Narendra Modi chaired a meeting with top officials to review the Covid-19 relation situation in the country. The Empowered Group working on boosting Oxygen Supply briefed the PM on the efforts being made to ramp up availability and supply of oxygen in the country: PMO  https://t.co/XXVlNecE1H,ani,1387062632193036290,india,news
8,1387039198759116801,2021-04-27,"Madhya Pradesh records 13,417 fresh COVID-19 cases (positivity rate - 22.6%), 11,577 recoveries, and 98 deaths in the last 24 hours   Active cases: 94,276 Total recoveries: 4,25,812 Death toll: 5,319  https://t.co/M7cEOsq2tz",ani,1387039198759116801,india,news
9,1387038242680180743,2021-04-27,"Chandigarh reports 837 fresh COVID-19 cases, 426 recoveries, and 6 deaths in the last 24 hours   Active cases: 5,980 Total recoveries: 33,924 Death toll: 446",ani,1387038242680180743,india,news
10,1387038241270890508,2021-04-27,"Karnataka | From 28th Apr till 12th May during COVID restrictions, BMTC to operate 150 essential ordinary services on 95 routes from 6am-7pm for State/Central Govt employees&amp;essential service providers. For air travellers, 6 buses to be operated b/w Kempegowda Bus Station&amp;airport",ani,1387038241270890508,india,news
11,1387023052056064002,2021-04-27,"Maharashtra: A female COVID-19 patient, who was arrested by police earlier this month, died after jumping off 8th floor of Sassoon General Hospital in Pune today.",ani,1387023052056064002,india,news
12,1386997281254101001,2021-04-27,"Railways has also mobilised COVID care coaches for Nagpur, Bhopal, Tihi, near Indore as per demand from the States. An MoU was signed between Divisional Railway Manager, Nagpur and Commissioner, Nagpur Municipal Corporation for 11 COVID care coaches: Ministry of Railways",ani,1386997281254101001,india,news
13,1386997279425318912,2021-04-27,"Ministry of Railways has made nearly 4000 COVID care coaches with almost 64,000 beds ready for use by States. At present 169 coaches have been handed over to various states, says the ministry",ani,1386997279425318912,india,news
14,1386983151155650562,2021-04-27,This is the time for the Armed Forces to rise to the occasion and support the civil administration in creating COVID mitigation facilities in time-bound manner. Timely support at this juncture is important: Chief of Defence Staff General Bipin Rawat (file pic)  https://t.co/b358kJiJhe,ani,1386983151155650562,india,news
15,1386974749906006018,2021-04-27,"45 people, including 42 students, found positive for #COVID19 at a residential school in Tangori. Positive patients sent to COVID Care Centre for isolation, others being sent home. FIR registered against the Director of the school: Mohali District Collector  #Punjab",ani,1386974749906006018,india,news
16,1386957726593404933,2021-04-27,"A petition has been filed in Kerala High Court seeking its directions to state government for fixing uniform COVID-19 treatment tariffs across private hospitals, labs, &amp; diagnostic centers  https://t.co/RwHCDYBQHp",ani,1386957726593404933,india,news
17,1386955445596680196,2021-04-27,"In its order, Supreme Court asks Govt of India to explain the basis &amp; rationale adopted with respect to the pricing of anti-COVID vaccines &amp;  other necessary items.",ani,1386955445596680196,india,news
18,1386943268236107779,2021-04-27,"Phase 3 COVID vaccination will start from May 1st. But it depends on availability of vaccines in state. CM declared free vaccines for 18-44 yrs of age group. State Govt has written to SII &amp; Bharat Biotech for vaccine supply: Bijay Panigrahi, COVID Vaccination In-Charge in Odisha  https://t.co/dcXZlhkAi5",ani,1386943268236107779,india,news
19,1386927978899152897,2021-04-27,Delhi: CM Arvind Kejriwal and Health Minister Satyendar Jain visit Ramlila Ground to inspect construction work of an additional COVID Care Centre.  https://t.co/4Q7ZMTEcyH,ani,1386927978899152897,india,news
20,1386926640907751425,2021-04-27,Madhya Pradesh Govt will give an ex-gratia of Rs 50 lakhs &amp; a compassionate appointment to families of the policemen who die in the line of duty during COVID pandemic. They'll also get Rs 1 lakh from Central Welfare Fund of Police: State Home Minister Narottam Mishra (file photo)  https://t.co/HO8NadSBDx,ani,1386926640907751425,india,news
