,id,date,tweet,tweeted_by,link,loc,type
0,1387194524628230149,2021-04-27,Useless to debate Covid toll as dead won’t come back to life: Khattar   https://t.co/Ta2sbvpeXO Download the TOI app now:  https://t.co/PWfcsfynzv,rajpal90,1387194524628230149,mumbai,react
1,1387193987107196930,2021-04-27,@kunalkamra88 Tere pe toh Covid ko bhi Bharosa nahi hai... Bahut hi NEGATIVE parasite hai tu,debankur09,1387193987107196930,mumbai,react
2,1387193415968825346,2021-04-27,@mashaln62 Sometimes I feel like I’m only saved from corona because I’ve not had a covid test yet.,thejunaidhashmi,1387193415968825346,mumbai,react
3,1387192439631450118,2021-04-27,revenue soars for Google owner in Covid-19 lockdown boom  https://t.co/4sz3zyqoQN,tpm_news,1387192439631450118,mumbai,react
4,1387190267007094785,2021-04-27,Priyanka Chopra Jonas appeals to US President to share COVID-19 vaccines  https://t.co/QKIUZhncCU,tpm_news,1387190267007094785,mumbai,react
5,1387190060764721153,2021-04-27,People see me as stranger when I wear mask...  But they are in danger when covid makes them wear oxygen mask!!   Risk hai to ishq hai..  Nahi to Bas covid fix hai!😎 #CovidIndia  #Covid19IndiaHelp  #OxygenShortage #OxygenEmergency,rude_pisces27,1387190060764721153,mumbai,react
6,1387188622441390084,2021-04-27,@narendramodi Entire world is laughing.....because major present Covid situation part has invited rather than proper plan/ seriousness...@DDNewslive @NITIAayog @TOIMumbai @drharshvardhan @ManKIbaatPMmodi,suas103,1387188622441390084,mumbai,react
7,1387188525150326785,2021-04-27,सब पेले जायेंगे. #Covid #OxygenShortage #YogiAdityanath,narangikhatmal,1387188525150326785,mumbai,react
8,1387188500550672389,2021-04-27,"Mumbai: IIT-B records 68% hike in IP filings, some patents are Covid-19 related  https://t.co/mjrfmqhHm2",toimumbai,1387188500550672389,mumbai,react
9,1387188492527091713,2021-04-27,"Fauci discusses uncertainty on COVID-19 variants, length of immunity – Harvard Gazette  https://t.co/Ni8xKKxYr8",tpm_news,1387188492527091713,mumbai,react
10,1387188192667971584,2021-04-27,Business leaders set out plan for post-Covid recovery  https://t.co/Yvk98HlQDw,tpm_news,1387188192667971584,mumbai,react
11,1387188149479161859,2021-04-27,"@drharshvardhan  maybe it’s your time to experience this and help manage COVID better, maybe?",rohanmoona27,1387188149479161859,mumbai,react
12,1387186508449206272,2021-04-27,"""COVID-19 SOS: Here's a list of resources""   https://t.co/02jX3DjHy0",moniskh87387964,1387186508449206272,mumbai,react
13,1387186445010493441,2021-04-27,"India Covid: ‘Sister help us, doctor help us – you’re God’  https://t.co/8Xj5adjxli",tpm_news,1387186445010493441,mumbai,react
14,1387186193842978820,2021-04-27,US to ease COVID-19 rules for foreign students  https://t.co/moLZgf3HOB,tpm_news,1387186193842978820,mumbai,react
15,1387185001616183297,2021-04-27,Government will desperately try and look for wandering off covid mismanagement  - Beware.,tagtaher,1387185001616183297,mumbai,react
16,1387184901313634307,2021-04-27,"@TheDailyShow Hey @Trevornoah , don’t bullshit without any knowledge of the matter .. look at the stats of cases and how india has handled Covid compared to the US and the western world .,  https://t.co/qm29El12wU",molotov_cocktel,1387184901313634307,mumbai,react
17,1387184534731509760,2021-04-27,How the world has extended a helping hand to India amid Covid tsunami  https://t.co/WpSjCi0Io2,esbr_truth,1387184534731509760,mumbai,react
18,1387183893770510337,2021-04-27,"German Army working around the clock to help India with its Covid crisis, says envoy Lindner  https://t.co/5VXpoZgyhq via @ThePrintIndia #COVIDEmergency2021 #COVIDSecondWaveInIndia #CovidIndia",nagma_morarji,1387183893770510337,mumbai,react
19,1387183043182403594,2021-04-27,Medical health system has completely collapsed there's no oxygen there's no vaccine and there's no bed in hospital for a COVID patient.. if not the Central Govt then who is to be held accountable?  @PMOIndia sir if you are free after Bengal campaign please resolve this,warispathan,1387183043182403594,mumbai,react
20,1387182443501920256,2021-04-27,Covid-19: Spain to impose 10-day quarantine on travellers from India  https://t.co/thGrGcAbKs,vnapn,1387182443501920256,mumbai,react
21,1387182408324288516,2021-04-27,"India PM Cares Fund!!! Does anyone care to question on the fund? How is it being used? Considering the number of donations were made, why are we even paying for COVID vaccines and treatment? Does that ring a bell?? @PMOIndia @RNTata2000 @akshaykumar @MukeshAmbanima @AmitShah",utsav24nov,1387182408324288516,mumbai,react
22,1387181974423494661,2021-04-27,Tyrrell Hatton latest to withdraw from PGA Tour’s Valspar Championship after testing positive for COVID-19  https://t.co/3na7fUJdBB,tpm_news,1387181974423494661,mumbai,react
23,1387179986063282176,2021-04-27,"@SonuSood good evening Sonu sir I need your help my uncle is admitted in hospital because of covid positive and we need 5 remdesivir injection we  managed to get only one we need more 4 sir please help us, 🙏🙏🙏🙏  https://t.co/BV8Iv7sUWn",allanandrews89,1387179986063282176,mumbai,react
24,1387179888201789447,2021-04-27,Tamil director Thamira passes away due to COVID-19 #aandevathai #covid19 #covid19actordeath #rettaisuzhi #thamira #thamiradeath #thamirafilms  https://t.co/xJM7huRtz5,newsintday,1387179888201789447,mumbai,react
25,1387179450601598979,2021-04-27,"@priyankachopra @BDUTT abe jyada hlioywood celibrity mat bano,udhar covid-19 se india pareshan hai ,apna condolences apne pass rakho",ghanshyamsandu,1387179450601598979,mumbai,react
26,1387179132413308932,2021-04-27,@realmanubhaker You sore not over 45 yrs and not eligible for the covid vaccine yet.  But privilege can get anything done. @tehseenp @ShashiTharoor @ArvindKejriwal @PMOIndia,vikaspell,1387179132413308932,mumbai,react
27,1387178890855075841,2021-04-27,Laat year we were accusing china for being fascist and underreporting of covid numbers.  And here we are.  2021.  #CovidIndia #CovidResources #Corona  https://t.co/WNaLDW1vHh,suraj02081996,1387178890855075841,mumbai,react
28,1387178652849344515,2021-04-27,Satyameva Jayate 2 makers postpone John Abraham starrer amid Covid-19 crisis : Bollywood News  https://t.co/mNfafjCPh3,tpm_news,1387178652849344515,mumbai,react
29,1387178548230721536,2021-04-27,"Camping season! ⛺️  Head out to watch the amazing greenery, as it blooms and summer sets in!  . . . . . .  #mask #covid #facemask #coronavirus #masks #skincare #art #masker #corona #stayhome #beauty #staysafe #quarantine #love #fashion #makeup #handmade #photography #like #so  https://t.co/S2PNs59qGo",10onten,1387178548230721536,mumbai,react
30,1387177915637387265,2021-04-27,"Mumbai: With results out in a day, 4.9k MBBS grads to fight Covid  https://t.co/51vM8AZbjs",toimumbai,1387177915637387265,mumbai,react
31,1387177782304657414,2021-04-27,"Mumbai: Satisfied how MVA handling Covid pandemic, says Sonia  https://t.co/GRgaNOvTtv",toimumbai,1387177782304657414,mumbai,react
32,1387177400631500802,2021-04-27,@crowngaurav labs are giving negative reports too for people who are having all covid symptoms,swatindian,1387177400631500802,mumbai,react
33,1387177398853013505,2021-04-27,"Mumbai: Open up sections of mosques for Covid care centres, says cleric  https://t.co/Fj8OeFUcsO",toimumbai,1387177398853013505,mumbai,react
34,1387177271539036162,2021-04-27,One more cop dies of Covid in Thane  https://t.co/PaIcYKDcpj,toimumbai,1387177271539036162,mumbai,react
35,1387176996656926724,2021-04-27,People dying cuz of covid is one thing. People dying cuz of lack of help for covid- it’s blood on someone’s hands.,fashhunny,1387176996656926724,mumbai,react
36,1387176883062677506,2021-04-27,"✅Tragedy is not that Mosha failed against COVID. Tragedy is they never tried.   ✅Till recently Mosha were firmly focused on WB, with COVID just an irritation  ✅What reoriented their focus was a) Public outrage b) reprimand by Delhj HC  ✅ Do we deserve such indifferent rulers?",rkhuria2,1387176883062677506,mumbai,react
37,1387176638383861760,2021-04-27,Double mutant covid in Karnataka: 20 cases of double mutant variant detected in Karnataka | Bengaluru News – Times of India  https://t.co/XMJB4FHiHL,nandkis09458351,1387176638383861760,mumbai,react
38,1387176398469533698,2021-04-27,Is there a single newspaper in India that will publish the names of those we lost to Covid on the front page ? Is there a single newspaper in the country that will ask for Modi’s resignation and ask accountability of the Prime Minister ? NOT ONE. NOT ONE @ravishkumar1035,ravishkumar1035,1387176398469533698,mumbai,react
39,1387175997141778435,2021-04-27,"I've seen the videos and that lady is not fit to teach. Plus, the audacity of using the excuse of being Covid+ for using horrible words while she herself yells in one video that she expects students to attend classes a day after their grandparent has died of COVID.",abbasmomin,1387175997141778435,mumbai,react
40,1387175858079604737,2021-04-27,Largest firefighting plane may be sold for COVID-19 response  https://t.co/4PQ7noi2IQ,tpm_news,1387175858079604737,mumbai,react
41,1387174701970173961,2021-04-27,"COVID-19: 895 deaths in Maharashtra, highest ever in 24 hours; 66,358 new cases  https://t.co/oXv3uzMLDB",nandkis09458351,1387174701970173961,mumbai,react
42,1387173426100523011,2021-04-27,"The temple mgmt authority has decided to celebrate the festival without the participation of common devotees. Tamil Nadu on Sunday recorded highest single-day spike in cases with 15,659 new covid cases. Total case tally in the state climbed to 10,81,988.   https://t.co/bz3XeIIpV9",healthcracyind,1387173426100523011,mumbai,react
43,1387173381280309250,2021-04-27,"NHL could adjust playoffs over COVID-19 travel restrictions in Canada, Bettman says  https://t.co/poJ0DGMNml",tpm_news,1387173381280309250,mumbai,react
44,1387173114073686016,2021-04-27,"Hello guys, Yesterday we got bad news as my uncle got expired because of Covid-19. It's a huge loss for us. But still people don't understand why they need to be isolated, to be at home, need to wear mask, its a high time guys.. #besafe #StayHome #GetVaccinated #amen #rip",bhushan_here_,1387173114073686016,mumbai,react
45,1387172510291034117,2021-04-27,Correction:Covid-19,_parvezk_,1387172510291034117,mumbai,react
46,1387171594682781696,2021-04-27,"@SonuSood Hello Sir, I am frm Mumbai my mum is currently admitted in Ursula Kanpur hospital male ward the hygiene over here is worst, relatives allowd in covid wrd, patients spitting on floor. Humble request if posible to help meanwhile I try to reach der, I am nt familiar wit Kanpur 🙏",arickagauba,1387171594682781696,mumbai,react
47,1387171270169567232,2021-04-27,Taapsee Pannu schools a troll on Twitter who questioned her work for COVID 19 crisis: Can you please shut up!  https://t.co/eBD6dKh532 @taapsee #taapseepannu,pinkvilla,1387171270169567232,mumbai,react
48,1387171000987570177,2021-04-27,@JPNadda You were the most inhuman of all with the PM tweeting that he had never seen such a crowd in Bengal rally when countless were dying due to covid,shettysandee,1387171000987570177,mumbai,react
49,1387168766144831489,2021-04-27,@thakkar_sameet Peaceful and no mask during Covid,ruhaanrajput20,1387168766144831489,mumbai,react
50,1387168656027787276,2021-04-27,"Gujarat sees record 14,352 Covid-19 cases and 170 deaths",kishanlalk,1387168656027787276,mumbai,react
51,1387168428008513539,2021-04-27,@ArGupta19 @PTI_News Covid nahi Covind time sir..,zahi101islam,1387168428008513539,mumbai,react
52,1387168071664631809,2021-04-27,Fury as Delhi luxury hotel booked as COVID hospital for court staff  https://t.co/dQtYDCuKNy,bebeyondthesoul,1387168071664631809,mumbai,react
53,1387167935857238020,2021-04-27,Trending Entertainment News Today — 5 possible reasons that led to Kartik Aaryan and Karan Johar's fallout; Farhan Akhtar hits back at a troll after his tweet on COVID vaccine price   #AnushkaSen #BTS #FarhanAkhtar #KaranJohar #KartikAaryan    https://t.co/Bavt7puXkm,bollywood_life,1387167935857238020,mumbai,react
54,1387167900717383684,2021-04-27,"Is it only me who is wishing fu*kboi exes to suffer huge losses in this Covid wave... Um, ok, just me then.",effacing_me,1387167900717383684,mumbai,react
55,1387167239422595078,2021-04-27,@RanaAyyub where was this accountability game in Maharashtra?? Stil the biggest state in terms of number of covid cases,vkrpoet,1387167239422595078,mumbai,react
56,1387167027756818433,2021-04-27,"*COVID-19 Vaccination program at BKC Jumbo Covid Vaccination Centre has been temporarily halted due to unavailability of stock from 28/04/2021, until further orders- Dr Rajesh Dere,Dean,BKC Jumbo Facility* #NaToCorona",bkchospital,1387167027756818433,mumbai,react
57,1387166795543416833,2021-04-27,@RahulGandhi @priyankagandhi ये है संघ के संस्कार नागपुर के श्री नारायण भाऊराव दाभाड़कर #RSS के वो कार्यकर्ता जिन्होंने एक #Covid मरीज के लिए हॉस्पिटल में अपना बेड छोड़ दिया था!वे उस महिला का रुदन नहीं देख सके जिसके पति को बेड नहीं मिल रहाथा! घर आने के तीसरे दिन उनका निधन होगया,shailes28702796,1387166795543416833,mumbai,react
58,1387166127281868801,2021-04-27,"@AwanishSharan Why not done ..? A wedding reception wth More thn 500 guests is not done.. not acceptable in covid terror,it’s like making mockery of all those lined up outside the crematorium.. how can ppl behave so irresponsible..",memumbaikar42,1387166127281868801,mumbai,react
59,1387165860142338050,2021-04-27,@ArvindKejriwal @pmo@ndtv@rajdeepsardesai@print@timesnow India going great guns all international news channels covering like never  https://t.co/FVUsHs4yW9 modi shah yogi denial  BBC News - India Covid: Delhi builds makeshift funeral pyres as deaths climb  https://t.co/zzGq0JvIs2,anupbhatia7,1387165860142338050,mumbai,react
60,1387164079916212224,2021-04-27,"HC की फटकार, अब देर रात मनीष सिसोदिया का ट्वीट- वापस ले लिया है होटलों में Covid केयर सेंटर बनाने का आदेश  https://t.co/a0vyJYetyX",nandkis09458351,1387164079916212224,mumbai,react
61,1387163640386576388,2021-04-27,"@RahulGandhi if u pass the mantle to Priyanka, Sachin pilot, or any young leader, Congress can still win vs Modi. If its you vs him, he will win even if India lose half its population to covid. Sacrifice your personal ambition for India, stand up like a Gandhi. Now. @INCIndia",sujaysquare,1387163640386576388,mumbai,react
62,1387163522476306434,2021-04-27,Is there a single newspaper in India that will publish the names of those we lost to Covid on the front page ? Is there a single newspaper in the country that will ask for Modi’s resignation and ask accountability of the Prime Minister ? NOT ONE. NOT ONE,ranaayyub,1387163522476306434,mumbai,react
63,1387162071989555203,2021-04-27,@ShayarImran THIS IS EXAMPLE SET BY LEADERS OF THE COUNTRY. WHAT ACTION IS BEING TAKEN ON THEM FOR DEFYING COVID NORMS. STRINGENT ACTION SHOULD BE TAKEN.,krishna1952,1387162071989555203,mumbai,react
64,1387161491158093824,2021-04-27,@Sanakhan_m It doesnt help as it does not detect new mutant... someone i know tested negative on strip where the person was covid positive... tht also citi scan severity score was 11/25... so relying on strips can be risky!,arhaanmumbaiyya,1387161491158093824,mumbai,react
65,1387160689974792193,2021-04-27,VERIFIED 28/4/21 3:12 AM  Akshardham Covid Care   #Delhi - 9582221700  #Oxygen #Beds,darrencaldeira,1387160689974792193,mumbai,react
66,1387160207348756480,2021-04-27,"@myogiadityanath If beds are available in entire state,why people in the capital (Lucknow)are not getting beds?why there is not a covid helpline with real help for the people in need?",tripathimukul,1387160207348756480,mumbai,react
67,1387159083736723456,2021-04-27,@VaidehiChande @RetweetsMumbai Just a heads up in case u have kids you can't donate they generally don't take women plasma... I myself have recovered from Covid in the last week and was told so,insiyaml,1387159083736723456,mumbai,react
68,1387158970704531466,2021-04-27,"@Cow__Momma If you read entire article, his grandfather is still alive &amp; being treated in hospital for some other ailment and not covid. Uncessary hassles he created for everyone, and lied his grandfather died.",india_abby,1387158970704531466,mumbai,react
69,1387158306368589830,2021-04-27,Shyam Bhai I would request you as our team member and by gods Grace we have youth in our team and not disturb the bmc now as they are in I’m orient covid relief work let’s do this as residents n volunteers @ipaddy @AkshayPanvelka1 thank you 🙏🤗 One Big Team !!! One Bandra !!!,iamrahulkanal,1387158306368589830,mumbai,react
70,1387158240421580801,2021-04-27,Plasma Donar Needed.   City - Hapur  Date - 28/04/21 Patient name: SP Agrawal Age : 71 Blood Group: A+ Purpose: covid patient SPO2-90 on Bipap machine.  Hospital: Sarswathi Institute of medical science (in ICU)  Contact: Tarun agrawal Contact no: 9490008331  #Covid19IndiaHelp,samiksha_patil9,1387158240421580801,mumbai,react
71,1387157754230411265,2021-04-27,@KunalSo14304655 @yeragi_deep @jogalshailaja @Live_Start_Ones Ahe t tri thik age jar fadnavis asta tr akde lavpvat lapvat aj dusara locknow delhi banavla asta are ithya cm n without center support jumbo covid center tri kele 1 varsh zala tyna fkt fadnavis 5 varsh hote kiti infra kela re medical sathi nagpur nashik tumchi municipal bagh adhi,sid_m1994,1387157754230411265,mumbai,react
72,1387157103517880325,2021-04-27,Apple to come to India's aid in battle against COVID-19; CEO Tim Cook issues statement   https://t.co/y4Pa4flq5W,republic,1387157103517880325,mumbai,react
73,1387155071222247425,2021-04-27,@asadowaisi @RubikaLiyaquat @saurabhtop @swatimishra1717 I launched a humble effort to help COVID patients in Hyderabad. This includes:  Helpline 7306600600 6   Oxygen Bank   Medicine kits First phase cost is 1.4cr &amp; is being borne by Majlis Charity Educational &amp; Relief Trust 1/3,aayanshaikh4400,1387155071222247425,mumbai,react
74,1387154898685337602,2021-04-27,"One of every three covid cases in the world is in India Today. If that doesn't bother you, I don't know what will.",barbasbarbad,1387154898685337602,mumbai,react
75,1387154879702081539,2021-04-27,"Delhi Govt Announces Rs 5,000 Aid for Covid Positive Construction Workers  https://t.co/SiVZRmy4iN",tpm_news,1387154879702081539,mumbai,react
76,1387154381984858114,2021-04-27,"As West Bengal grapples with shortage of beds and oxygen due to a steep rise in Covid-19 cases, netizens shared private phone numbers of top TMC and BJP leaders on social media for people to reach out to them in distress.  @asadowaisi @FaiyazAhmed1961   https://t.co/RsejvVFv7p",mohammedmubina1,1387154381984858114,mumbai,react
77,1387153904677183491,2021-04-27,Those above 18years to get Covid-19 vaccines in Mumbai private hospitals only   https://t.co/VaPtzUZdGU,hsc285,1387153904677183491,mumbai,react
78,1387153904140492800,2021-04-27,"@anubhabhonsle Madam govt allowed the vaccine process from frontline workers. If i am not wrong, they might be taken vaccine  . How can they died from covid 19?  Just asking questions",kishanlalk,1387153904140492800,mumbai,react
79,1387153461687459840,2021-04-27,Covid se ladne ke liye Modi government ko ek saal mila tha Uss ne kya kiya? 1st : Parliament project 2nd : Ram Mandir Nirman 3rd : Bengal Election  https://t.co/x4k6Tqbvq1,imayubshaikh,1387153461687459840,mumbai,react
80,1387153378044641280,2021-04-27,@audilovr @spokenatlast Attaching verified govt sourced data of available beds RIGHT NOW IN DELHI - #ICU #Oxygen #Covid #Beds two hospitals:  https://t.co/3sg6UBf1J5  https://t.co/AKZdnPxG4A,knowpandeyji,1387153378044641280,mumbai,react
81,1387153215242657792,2021-04-27,@rohit_4464 Wont unless govt wants. See this 2 understand what is happening to meds for covid  https://t.co/xqh1BRhMKJ,sjain_13,1387153215242657792,mumbai,react
82,1387152848186601474,2021-04-27,"‘Go die, you uncouth’: UP Covid patient told on govt helpline  https://t.co/XjVFHsGEJN",merchantrajeev,1387152848186601474,mumbai,react
83,1387151924785422337,2021-04-27,"@SanjanaSatapat1 @TOIMumbai @CMOMaharashtra @OfficeofUT @AUThackeray @mybmc Bottomline, no symptom no hospitalization and no morbidity. Who cares if one does get covid and we are all masked so not spreading it. At the end of it death is what we don't want. Hai ke nahi!?!",drsharm,1387151924785422337,mumbai,react
84,1387151850416197632,2021-04-27,#covid #stages  https://t.co/c65GjvQ7fE,vinaydesai13,1387151850416197632,mumbai,react
85,1387151507313676291,2021-04-27,"Karnataka Corona Cases: Karnataka adds 31,830 fresh Covid-19 infections, active cases cross 3 lakh mark | Bengaluru News – Times of India  https://t.co/79jv5XC3dS",nandkis09458351,1387151507313676291,mumbai,react
86,1387150523330043905,2021-04-27,#DevendraFadnavis #UddhavThackeray #sharadpawarspeaks #Congress #bjpindia #BJPMaharashtra #BjpMumbai #Shivsena #NCP #Coronaviruspandemic #covid #BMC #mumbaipolicecommissioner #MumbaiPolice #DGP #Directorgeneralofpolice  #MMRDA #abhijeetrane #mumbaimitra #dailymumbaimitra  https://t.co/AoaRPL4zYC,abhijeetrane,1387150523330043905,mumbai,react
87,1387150467625488387,2021-04-27,@POTUS @narendramodi Finally the #Biden gets his memory back after Indian NSA #AjitDoval reminds him that it was #India who gave out 50mn HCQ when covid was worse in #US Btw the plan was good to get Indian buying the #US vaccines but it failed miserably 😌 Get a better plan next time 😉,vaishaksanil,1387150467625488387,mumbai,react
88,1387150399602237442,2021-04-27,#DevendraFadnavis #UddhavThackeray #sharadpawarspeaks #Congress #bjpindia #BJPMaharashtra #BjpMumbai #Shivsena #NCP #Coronaviruspandemic #covid #BMC #mumbaipolicecommissioner #MumbaiPolice #DGP #Directorgeneralofpolice  #MMRDA #abhijeetrane #mumbaimitra #dailymumbaimitra  https://t.co/RIKMO52vBg,abhijeetrane,1387150399602237442,mumbai,react
89,1387150359655718912,2021-04-27,#DevendraFadnavis #UddhavThackeray #sharadpawarspeaks #Congress #bjpindia #BJPMaharashtra #BjpMumbai #Shivsena #NCP #Coronaviruspandemic #covid #BMC #mumbaipolicecommissioner #MumbaiPolice #DGP #Directorgeneralofpolice  #MMRDA #abhijeetrane #mumbaimitra #dailymumbaimitra  https://t.co/YEFXQ0Dt0B,abhijeetrane,1387150359655718912,mumbai,react
90,1387150337706848257,2021-04-27,College exams making Covid look hella sexy rn,rd_dadoge,1387150337706848257,mumbai,react
